1,1,20040909,"21.00.00",14,21
2,1,20040912,"13.00.00",1,29
3,1,20040912,"13.00.00",3,8
4,1,20040912,"13.00.00",7,20
5,1,20040912,"13.00.00",11,6
6,1,20040912,"13.00.00",15,4
7,1,20040912,"13.00.00",23,25
8,1,20040912,"13.00.00",26,13
9,1,20040912,"13.00.00",28,22
10,1,20040912,"13.00.00",30,32
11,1,20040912,"13.00.00",31,17
12,1,20040912,"16.15.00",2,27
13,1,20040912,"16.15.00",9,18
14,1,20040912,"16.15.00",19,24
15,1,20040912,"20.30.00",16,10
16,1,20040913,"21.00.00",12,5
17,2,20040919,"13.00.00",5,16
18,2,20040919,"13.00.00",6,12
19,2,20040919,"13.00.00",10,15
20,2,20040919,"13.00.00",13,11
21,2,20040919,"13.00.00",14,31
22,2,20040919,"13.00.00",25,3
23,2,20040919,"13.00.00",27,22
24,2,20040919,"13.00.00",29,2
25,2,20040919,"13.00.00",32,19
26,2,20040919,"16.05.00",28,30
27,2,20040919,"16.15.00",4,23
28,2,20040919,"16.15.00",8,9
29,2,20040919,"16.15.00",21,1
30,2,20040919,"16.15.00",20,26
31,2,20040919,"20.30.00",17,7
32,2,20040920,"21.00.00",18,24
33,3,20040926,"13.00.00",1,2
34,3,20040926,"13.00.00",3,7
35,3,20040926,"13.00.00",6,18
36,3,20040926,"13.00.00",8,19
37,3,20040926,"13.00.00",13,16
38,3,20040926,"13.00.00",15,31
39,3,20040926,"13.00.00",22,29
40,3,20040926,"13.00.00",24,11
41,3,20040926,"13.00.00",25,17
42,3,20040926,"16.05.00",26,10
43,3,20040926,"16.15.00",12,14
44,3,20040926,"16.15.00",27,28
45,3,20040926,"20.30.00",30,23
46,3,20040927,"21.00.00",9,32
47,4,20041003,"13.00.00",7,25
48,4,20041003,"13.00.00",14,15
49,4,20041003,"13.00.00",21,4
50,4,20041003,"13.00.00",19,12
51,4,20041003,"13.00.00",23,13
52,4,20041003,"13.00.00",24,6
53,4,20041003,"13.00.00",32,8
54,4,20041003,"16.05.00",2,5
55,4,20041003,"16.05.00",22,1
56,4,20041003,"16.15.00",10,30
57,4,20041003,"16.15.00",20,17
58,4,20041003,"16.15.00",31,26
59,4,20041003,"20.30.00",29,27
60,4,20041004,"21.00.00",16,3
61,5,20041010,"13.00.00",8,25
62,5,20041010,"13.00.00",11,2
63,5,20041010,"13.00.00",17,21
64,5,20041010,"13.00.00",18,13
65,5,20041010,"13.00.00",19,9
66,5,20041010,"13.00.00",23,14
67,5,20041010,"13.00.00",30,22
68,5,20041010,"16.05.00",4,20
69,5,20041010,"16.05.00",15,26
70,5,20041010,"16.15.00",1,27
71,5,20041010,"16.15.00",5,10
72,5,20041010,"16.15.00",29,28
73,5,20041010,"20.30.00",3,32
74,5,20041011,"21.00.00",31,12
75,6,20041017,"13.00.00",5,24
76,6,20041017,"13.00.00",7,8
77,6,20041017,"13.00.00",12,11
78,6,20041017,"13.00.00",13,31
79,6,20041017,"13.00.00",16,15
80,6,20041017,"13.00.00",17,4
81,6,20041017,"13.00.00",26,2
82,6,20041017,"13.00.00",28,21
83,6,20041017,"13.00.00",27,20
84,6,20041017,"13.00.00",32,6
85,6,20041017,"16.15.00",10,23
86,6,20041017,"16.15.00",25,9
87,6,20041017,"20.30.00",18,22
88,6,20041018,"21.00.00",30,29
89,7,20041024,"13.00.00",2,16
90,7,20041024,"13.00.00",4,3
91,7,20041024,"13.00.00",6,30
92,7,20041024,"13.00.00",11,19
93,7,20041024,"13.00.00",15,14
94,7,20041024,"13.00.00",24,8
95,7,20041024,"13.00.00",26,5
96,7,20041024,"13.00.00",29,17
97,7,20041024,"13.00.00",31,18
98,7,20041024,"16.05.00",20,21
99,7,20041024,"16.15.00",9,12
100,7,20041024,"16.15.00",22,23
101,7,20041024,"16.15.00",28,1
102,7,20041025,"21.00.00",10,7
103,8,20041031,"13.00.00",1,4
104,8,20041031,"13.00.00",3,24
105,8,20041031,"13.00.00",7,31
106,8,20041031,"13.00.00",11,9
107,8,20041031,"13.00.00",12,32
108,8,20041031,"13.00.00",14,16
109,8,20041031,"13.00.00",15,13
110,8,20041031,"13.00.00",19,18
111,8,20041031,"16.05.00",2,10
112,8,20041031,"16.05.00",5,28
113,8,20041031,"16.15.00",21,25
114,8,20041031,"16.15.00",23,26
115,8,20041031,"20.30.00",27,6
116,8,20041101,"21.00.00",17,20
117,9,20041107,"13.00.00",1,17
118,9,20041107,"13.00.00",9,7
119,9,20041107,"13.00.00",16,30
120,9,20041107,"13.00.00",20,4
121,9,20041107,"13.00.00",23,5
122,9,20041107,"13.00.00",24,25
123,9,20041107,"13.00.00",32,11
124,9,20041107,"16.05.00",6,19
125,9,20041107,"16.05.00",22,26
126,9,20041107,"16.05.00",28,27
127,9,20041107,"16.15.00",13,10
128,9,20041107,"16.15.00",21,29
129,9,20041107,"20.30.00",8,3
130,9,20041108,"21.00.00",18,14
131,10,20041114,"13.00.00",3,20
132,10,20041114,"13.00.00",6,31
133,10,20041114,"13.00.00",11,15
134,10,20041114,"13.00.00",13,14
135,10,20041114,"13.00.00",16,22
136,10,20041114,"13.00.00",25,8
137,10,20041114,"13.00.00",28,29
138,10,20041114,"13.00.00",30,2
139,10,20041114,"16.05.00",7,32
140,10,20041114,"16.15.00",5,27
141,10,20041114,"16.15.00",18,12
142,10,20041114,"16.15.00",19,1
143,10,20041114,"20.30.00",4,21
144,10,20041115,"21.00.00",24,9
145,11,20041121,"13.00.00",1,5
146,11,20041121,"13.00.00",9,3
147,11,20041121,"13.00.00",10,22
148,11,20041121,"13.00.00",11,18
149,11,20041121,"13.00.00",14,6
150,11,20041121,"13.00.00",20,8
151,11,20041121,"13.00.00",25,7
152,11,20041121,"13.00.00",27,30
153,11,20041121,"13.00.00",29,4
154,11,20041121,"13.00.00",31,15
155,11,20041121,"16.05.00",17,28
156,11,20041121,"16.05.00",26,23
157,11,20041121,"16.15.00",2,19
158,11,20041121,"16.15.00",32,24
159,11,20041121,"20.30.00",12,13
160,11,20041122,"21.00.00",21,16
161,12,20041125,"12.30.00",14,11
162,12,20041125,"16.35.00",6,9
163,12,20041128,"13.00.00",3,21
164,12,20041128,"13.00.00",8,7
165,12,20041128,"13.00.00",15,18
166,12,20041128,"13.00.00",24,19
167,12,20041128,"13.00.00",26,16
168,12,20041128,"13.00.00",30,5
169,12,20041128,"13.00.00",31,13
170,12,20041128,"13.00.00",32,25
171,12,20041128,"16.05.00",22,2
172,12,20041128,"16.15.00",4,28
173,12,20041128,"16.15.00",17,27
174,12,20041128,"16.15.00",20,1
175,12,20041128,"20.30.00",23,10
176,12,20041129,"21.00.00",29,12
177,13,20041205,"13.00.00",1,11
178,13,20041205,"13.00.00",2,30
179,13,20041205,"13.00.00",4,17
180,13,20041205,"13.00.00",5,22
181,13,20041205,"13.00.00",7,3
182,13,20041205,"13.00.00",13,20
183,13,20041205,"13.00.00",18,6
184,13,20041205,"13.00.00",21,8
185,13,20041205,"13.00.00",27,29
186,13,20041205,"13.00.00",31,14
187,13,20041205,"16.05.00",10,26
188,13,20041205,"16.05.00",16,23
189,13,20041205,"16.15.00",12,24
190,13,20041205,"16.15.00",19,32
191,13,20041205,"20.30.00",25,15
192,13,20041206,"21.00.00",9,28
193,14,20041212,"13.00.00",6,15
194,14,20041212,"13.00.00",7,21
195,14,20041212,"13.00.00",8,4
196,14,20041212,"13.00.00",11,12
197,14,20041212,"13.00.00",14,13
198,14,20041212,"13.00.00",22,9
199,14,20041212,"13.00.00",19,3
200,14,20041212,"13.00.00",23,2
201,14,20041212,"13.00.00",28,18
202,14,20041212,"16.05.00",17,10
203,14,20041212,"16.05.00",20,25
204,14,20041212,"16.15.00",27,1
205,14,20041212,"16.15.00",29,5
206,14,20041212,"16.15.00",30,26
207,14,20041212,"20.30.00",24,32
208,14,20041213,"21.00.00",16,31
209,15,20041218,"13.30.00",25,19
210,15,20041218,"17.00.00",32,27
211,15,20041218,"20.30.00",5,2
212,15,20041219,"13.00.00",4,7
213,15,20041219,"13.00.00",9,24
214,15,20041219,"13.00.00",13,6
215,15,20041219,"13.00.00",15,12
216,15,20041219,"13.00.00",18,11
217,15,20041219,"13.00.00",26,8
218,15,20041219,"13.00.00",28,20
219,15,20041219,"16.05.00",22,30
220,15,20041219,"16.05.00",29,1
221,15,20041219,"16.15.00",10,16
222,15,20041219,"16.15.00",31,23
223,15,20041219,"20.30.00",3,14
224,15,20041220,"21.00.00",21,17
225,16,20041224,"15.00.00",12,18
226,16,20041225,"17.00.00",23,16
227,16,20041225,"20.30.00",10,31
228,16,20041226,"13.00.00",2,22
229,16,20041226,"13.00.00",3,25
230,16,20041226,"13.00.00",5,30
231,16,20041226,"13.00.00",6,11
232,16,20041226,"13.00.00",13,15
233,16,20041226,"13.00.00",19,7
234,16,20041226,"13.00.00",26,14
235,16,20041226,"16.05.00",4,27
236,16,20041226,"16.05.00",21,20
237,16,20041226,"16.15.00",1,28
238,16,20041226,"16.15.00",32,9
239,16,20041226,"20.30.00",8,17
240,16,20041227,"21.00.00",24,29
241,17,20050102,"13.00.00",7,24
242,17,20050102,"13.00.00",8,13
243,17,20050102,"13.00.00",11,31
244,17,20050102,"13.00.00",12,6
245,17,20050102,"13.00.00",17,3
246,17,20050102,"13.00.00",18,32
247,17,20050102,"13.00.00",22,5
248,17,20050102,"13.00.00",20,29
249,17,20050102,"13.00.00",25,4
250,17,20050102,"13.00.00",27,21
251,17,20050102,"16.05.00",2,28
252,17,20050102,"16.05.00",30,1
253,17,20050102,"16.15.00",14,10
254,17,20050102,"16.15.00",15,23
255,17,20050102,"16.15.00",16,26
256,17,20050102,"20.30.00",9,19
